,Book_ID,Book Title,Book Subtitle,Book Author,Book Narrator,Audio Runtime,Audiobook_Type,Categories,Rating,Total No. of Ratings,Price
0,1,Bamboozled by Jesus,How God Tricked Me into the Life of My Dreams,Yvonne Orji,Yvonne Orji,6 hrs and 31 mins,Unabridged Audiobook,Biographies & Memoirs,5,47.0,$29.65 
1,2,Sixth Realm Part 1,"A LitRPG Fantasy Series (The Ten Realms, Book 6)",Michael Chatfield,Neil Hellegers,13 hrs and 33 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.5,98.0,$24.95 
2,3,Go Tell the Bees That I Am Gone,"Outlander, Book 9",Diana Gabaldon,Davina Porter,27 hrs and 30 mins,Unabridged Audiobook,Science Fiction & Fantasy,,,$41.99 
3,4,How the Word Is Passed,A Reckoning with the History of Slavery Across America,Clint Smith,Clint Smith,10 hrs and 7 mins,Unabridged Audiobook,History,,,$29.65 
4,5,The Devil May Dance,A Novel,Jake Tapper,Rob Shapiro,10 hrs and 12 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.5,108.0,$29.65 
5,6,Shadow Storm,"Shadow Rider, Book 6",Christine Feehan,Jim Frangione,13 hrs and 42 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.8,124.0,$31.49 
6,7,American Marxism,,Mark R. Levin,Jeremy Lowell,6 hrs and 30 mins,Unabridged Audiobook,Politics & Social Sciences,,,$18.89 
7,8,Mercy,,David Baldacci,,13 hrs,,,Not rated yet,,$30.79 
8,9,Dream Spinner,,Kristen Ashley,Susannah Jones,12 hrs and 45 mins,Unabridged Audiobook,Romance,4.6,101.0,$29.65 
9,10,Fortune Funhouse,"Miss Fortune Mysteries, Book 19",Jana DeLeon,Cassandra Campbell,9 hrs and 21 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.9,414.0,$19.95 
10,11,Godblight,"Dark Imperium: Warhammer 40,000, Book 3",Guy Haley,John Banks,13 hrs and 2 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.7,3.0,$32.71 
11,12,The Missing Sister,,Lucinda Riley,Caroline Lennon,23 hrs and 48 mins,Unabridged Audiobook,Literature & Fiction,4.3,3.0,$32.71 
12,13,The Bomber Mafia,"A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,Malcolm Gladwell,5 hrs and 14 mins,Unabridged Audiobook,History,4.7,1923.0,$22.40 
13,14,Yearbook,,Seth Rogen,Seth Rogen,6 hrs and 13 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,1614.0,$28.00 
14,15,Unsettled,"What Climate Science Tells Us, What It Doesn't, and Why It Matters",Steven E. Koonin,Jay Aaseng,7 hrs and 14 mins,Unabridged Audiobook,Politics & Social Sciences,4.9,63.0,$15.40 
15,16,Legacy,A Novel,Nora Roberts,January LaVoy,14 hrs and 57 mins,Unabridged Audiobook,Literature & Fiction,4.8,329.0,$31.18 
16,17,How to Do the Work,"Recognize Your Patterns, Heal from Your Past, and Create Your Self",Dr. Nicole LePera,Courtney Patterson,9 hrs and 42 mins,Unabridged Audiobook,Health & Wellness,4.5,46.0,$30.79 
17,18,Breakaway,"Expeditionary Force, Book 12",Craig Alanson,R.C. Bray,19 hrs and 22 mins,Unabridged Audiobook,Science Fiction & Fantasy,,,$59.99 
18,19,The 1619 Project,A New Origin Story,Nikole Hannah-Jones,,8 hrs,,,Not rated yet,,$28.00 
19,20,Greenlights,,Matthew McConaughey,Matthew McConaughey,6 hrs and 42 mins,Unabridged Audiobook,Biographies & Memoirs,4.9,78263.0,$28.00 
20,21,Something Wicked This Way Comes,,Ray Bradbury,Christian Rummel,9 hrs and 5 mins,Unabridged Audiobook,Literature & Fiction,4.2,4593.0,$19.95 
21,22,The Saboteurs,"An Isaac Bell Adventure, Book 12",Clive Cussler,Scott Brick,11 hrs and 14 mins,Unabridged Audiobook,Literature & Fiction,4.8,62.0,$31.50 
22,23,What Happened to You?,"Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,Bruce D. Perry,8 hrs and 27 mins,Unabridged Audiobook,Health & Wellness,4.9,2048.0,$20.99 
23,24,The Last Thing He Told Me,A Novel,Laura Dave,Rebecca Lowman,8 hrs and 49 mins,Unabridged Audiobook,Literature & Fiction,4.5,4460.0,$22.67 
24,25,Chasing Fire,,Nora Roberts,Rebecca Lowman,15 hrs and 10 mins,Unabridged Audiobook,Literature & Fiction,4.4,6632.0,$29.99 
25,26,Project Hail Mary,,Andy Weir,Ray Porter,16 hrs and 10 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.9,17208.0,$29.95 
26,27,The Dungeon Anarchist's Cookbook,"Dungeon Crawler Carl, Book 3",Matt Dinniman,Jeff Hays The Critical Drinker,16 hrs and 54 mins,Unabridged Audiobook,Literature & Fiction,4.9,503.0,$24.95 
27,28,The Enemy Within,How a Totalitarian Movement Is Destroying America,David Horowitz,Rick Adamson,7 hrs and 47 mins,Unabridged Audiobook,Politics & Social Sciences,4.9,50.0,$17.49 
28,29,Amazon Unbound,Jeff Bezos and the Invention of a Global Empire,Brad Stone,Pete Larkin,16 hrs and 33 mins,Unabridged Audiobook,Biographies & Memoirs,4.5,77.0,$28.34 
29,30,The Four Agreements,,don Miguel Ruiz,Peter Coyote,2 hrs and 31 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.7,35939.0,$14.95 
30,31,Sapiens,A Brief History of Humankind,Yuval Noah Harari,Derek Perkins,15 hrs and 17 mins,Unabridged Audiobook,Politics & Social Sciences,4.7,43410.0,$34.22 
31,32,Never Split the Difference,Negotiating as if Your Life Depended on It,Chris Voss,Michael Kramer,8 hrs and 7 mins,Unabridged Audiobook,Business & Careers,4.8,50427.0,$27.37 
32,33,Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,James Clear,5 hrs and 35 mins,Unabridged Audiobook,Business & Careers,4.8,63238.0,$28.00 
33,34,The Devil's Highway,A True Story,Luis Alberto Urrea,Luis Alberto Urrea,8 hrs and 53 mins,Unabridged Audiobook,History,4.5,925.0,$22.80 
34,35,Animal Farm,,George Orwell,Benjamin May,3 hrs and 25 mins,Unabridged Audiobook,Literature & Fiction,4.7,3.0,$0.94 
35,36,The Subtle Art of Not Giving a F*ck,A Counterintuitive Approach to Living a Good Life,Mark Manson,Roger Wayne,5 hrs and 17 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.5,143539.0,$23.95 
36,37,Captivate,The Science of Succeeding with People,Vanessa Van Edwards,Vanessa Van Edwards,7 hrs and 28 mins,Unabridged Audiobook,Business & Careers,4.6,3087.0,$28.00 
37,38,The Marriage,,K. L. Slater,Lucy Price-Lewis,9 hrs and 7 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.2,37.0,$16.35 
38,39,Howl's Moving Castle,,Diana Wynne Jones,Jenny Sterlin,8 hrs and 34 mins,Unabridged Audiobook,Children's Audiobooks,4.7,8923.0,$31.47 
39,40,Killers of the Flower Moon,The Osage Murders and the Birth of the FBI,David Grann,Will Patton,9 hrs and 4 mins,Unabridged Audiobook,Biographies & Memoirs,4.4,12640.0,$27.95 
40,41,A Land So Strange,The Epic Journey of Cabeza de Vaca,Andres Resendez,Jonathan Davis,7 hrs and 13 mins,Unabridged Audiobook,Biographies & Memoirs,4.6,796.0,$19.95 
41,42,Rich Dad Poor Dad,What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Tim Wheeler,6 hrs and 9 mins,Unabridged Audiobook,Money & Finance,4.8,65801.0,$24.99 
42,43,Crying in H Mart,A Memoir,Michelle Zauner,Michelle Zauner,7 hrs and 23 mins,Unabridged Audiobook,Biographies & Memoirs,4.9,362.0,$28.00 
43,44,Shadow and Bone,,Leigh Bardugo,Lauren Fortgang,9 hrs and 21 mins,Unabridged Audiobook,Teen,4.4,8194.0,$19.95 
44,45,Afterlife,"Crossbreed Series, Book 10",Dannika Dark,Nicole Poole,12 hrs,Unabridged Audiobook,Romance,4.9,259.0,$17.49 
45,46,How to Win Friends & Influence People,,Dale Carnegie,Andrew MacMillan,7 hrs and 15 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.7,82649.0,$31.93 
46,47,The Plot,,Jean Hanff Korelitz,Kirby Heyborne,10 hrs and 43 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4,181.0,$27.99 
47,48,Never Go Back,"Jack Reacher, Book 18",Lee Child,Dick Hill,13 hrs and 44 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.4,7961.0,$31.50 
48,49,Freedom,,Sebastian Junger,Sebastian Junger,3 hrs and 6 mins,Unabridged Audiobook,Biographies & Memoirs,4.7,119.0,$18.89 
49,50,Children of Ash and Elm,A History of the Vikings,Neil Price,Samuel Roukin,17 hrs and 25 mins,Unabridged Audiobook,History,4.7,313.0,$34.99 
50,51,Bloodline,"Cradle, Book 9",Will Wight,Travis Baldree,11 hrs and 12 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.9,4009.0,$24.95 
51,52,The Hope We Hold,Finding Peace in the Promises of God,Jeremy Vuolo,Jeremy Vuolo,6 hrs and 8 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,418.0,$29.65 
52,53,Freed,Fifty Shades Freed as Told by Christian,E. L. James,Zachary Webber,27 hrs and 15 mins,Unabridged Audiobook,Literature & Fiction,,,$38.50 
53,54,Dark Imperium,"Dark Imperium: Warhammer 40,000, Book 1",Guy Haley,John Banks,11 hrs and 53 mins,Unabridged Audiobook,Science Fiction & Fantasy,5,2.0,$32.71 
54,55,The Body Keeps the Score,"Brain, Mind, and Body in the Healing of Trauma",Bessel A. van der Kolk,Sean Pratt,16 hrs and 15 mins,Unabridged Audiobook,Health & Wellness,4.9,538.0,$35.00 
55,56,Born a Crime,Stories from a South African Childhood,Trevor Noah,Trevor Noah,8 hrs and 44 mins,Unabridged Audiobook,Arts & Entertainment,4.9,182445.0,$24.95 
56,57,Great Circle,A Novel,Maggie Shipstead,Cassandra Campbell,25 hrs and 16 mins,Unabridged Audiobook,Literature & Fiction,4.6,78.0,$42.00 
